id,imageAssetName,title,shoeSize,videoUrl,stripes,backgroundColor
26,DOAF_FF_025.png,Ducks of a Feather #26,9,https://player.vimeo.com/progressive_redirect/playback/679384760/rendition/540p?loc=external&signature=5ec1701fa3416c5f8175af79711ba20552cc686eef03a8f3d1057a3f3147aabd,Y,BRIGHT ORANGE
27,DOAF_FF_026.png,Ducks of a Feather #27,9,https://player.vimeo.com/progressive_redirect/playback/679384780/rendition/540p?loc=external&signature=b500ed30fb2e3aafbe253c7ec89997bd985a68c862d09bebd7fdd8aa25f1cc7c,N,DARK GREY
28,DOAF_FF_027.png,Ducks of a Feather #28,9,https://player.vimeo.com/progressive_redirect/playback/679384796/rendition/540p?loc=external&signature=befe3beab9c955548e0e232d2112b573ca773a18e2b93cdd7363c537effa99c1,N,PURPLE
29,DOAF_FF_028.png,Ducks of a Feather #29,9,https://player.vimeo.com/progressive_redirect/playback/679384808/rendition/540p?loc=external&signature=cd15c758054364b0956acc1feb475d2cc6991028d9273df620d4a40d45066005,N,MINT GREEN
30,DOAF_FF_029.png,Ducks of a Feather #30,9,https://player.vimeo.com/progressive_redirect/playback/679384819/rendition/540p?loc=external&signature=a311e79f7f83b918e324cdcdf6021f3bef39ce2d3e96dc033690e23e5dc19a27,N,LIGHT GREY
31,DOAF_FF_030.png,Ducks of a Feather #31,9,https://player.vimeo.com/progressive_redirect/playback/679384831/rendition/540p?loc=external&signature=62481f769e57ab14b490b585781d65bd8dc9021fb3ee81c85968e9486526da5b,N,BROWN
32,DOAF_FF_031.png,Ducks of a Feather #32,9,https://player.vimeo.com/progressive_redirect/playback/679384837/rendition/540p?loc=external&signature=1fc3fd62ef68c0f30ae04e9bd0bb64cc5ff57b4901398ca3d737515a3ded47a0,N,SKY BLUE
33,DOAF_FF_032.png,Ducks of a Feather #33,9,https://player.vimeo.com/progressive_redirect/playback/679384847/rendition/540p?loc=external&signature=b9d99e24d660117dd9585a282ac5c4f4836c51ff8339c3bfb55eac8cf8e4f8cc,Y,YELLOW
34,DOAF_FF_033.png,Ducks of a Feather #34,9,https://player.vimeo.com/progressive_redirect/playback/679384861/rendition/540p?loc=external&signature=880037b6948b4e49434fe55f473d1fb674aa4beb79fd88241e64ba57d263fd2e,N,PINK
35,DOAF_FF_034.png,Ducks of a Feather #35,9.5,https://player.vimeo.com/progressive_redirect/playback/679384879/rendition/540p?loc=external&signature=7bd226ef93e65ddb91f50bf1ae0ff1863588e0477a989f37d094fa8f0f843bdc,N,ARTICHOKE GREEN
36,DOAF_FF_035.png,Ducks of a Feather #36,9.5,https://player.vimeo.com/progressive_redirect/playback/679384897/rendition/540p?loc=external&signature=66714bd6c8a5ab36bb58b01191f47000078e26bb439d7ed7b213f9c6ab10e88e,N,MINT GREEN
37,DOAF_FF_036.png,Ducks of a Feather #37,9.5,https://player.vimeo.com/progressive_redirect/playback/679384897/rendition/540p?loc=external&signature=66714bd6c8a5ab36bb58b01191f47000078e26bb439d7ed7b213f9c6ab10e88e,N,DARK GREY
